Possession Status,Price,Covered Area,Carpet Area,City,Type of Property,bedroom,Bathroom,Parking,Location,Society,Ownership Type,isPrimeLocationProperty,Maintenance Charges
Ready to Move,160000000.0,3200.0,3200.0,Mumbai,Apartment,4,4.0,2 Open,"Dadar TT Circle, Mumbai",Y,Freehold,Y,65000.0
Ready to Move,79000000.0,3017.0,2150.0,Mumbai,Apartment,4,5.0,3 Covered,"Dadar East, Mumbai",N,Freehold,Y,45000.0
Ready to Move,79900000.0,2800.0,2100.0,Mumbai,Apartment,3,4.0,,"Dadar East, Mumbai",Y,,Y,
Under Construction,27000000.0,1067.0,667.0,Mumbai,Apartment,2,2.0,1 Covered,"Hindu Colony, Mumbai",Y,Freehold,Y,6500.0
Under Construction,63000000.0,,1611.0,Mumbai,Apartment,3,3.0,2 Covered,"Dadar East, Mumbai",Y,Freehold,Y,12.0
Ready to Move,55000000.0,2300.0,1650.0,Mumbai,Apartment,3,1.0,2 Covered,"Dadar East, Mumbai",Y,Freehold,Y,13400.0
Under Construction,19500000.0,940.0,575.0,Mumbai,Apartment,2,2.0,1 Covered,"Dadar East, Mumbai",Y,Co-operative Society,Y,5000.0
Ready to Move,80000000.0,3900.0,2345.0,Mumbai,Apartment,4,5.0,2 Covered,"Dadar East, Mumbai",Y,Freehold,Y,26.0
Under Construction,72500000.0,1900.0,1838.0,Mumbai,Apartment,3,3.0,2 Covered,"Dadar East, Mumbai",Y,Freehold,Y,30000.0
Ready to Move,90000000.0,,1838.0,Mumbai,Apartment,3,3.0,,"Dadar East, Mumbai",Y,Freehold,Y,
Ready to Move,79900000.0,,2102.0,Mumbai,Apartment,4,5.0,2 Covered,"Dadar East, Mumbai",Y,Co-operative Society,Y,
Ready to Move,59900000.0,,1620.0,Mumbai,Apartment,3,4.0,2 Covered,"Dadar East, Mumbai",Y,Co-operative Society,Y,
Ready to Move,75000000.0,,1943.0,Mumbai,Apartment,3,4.0,2 Covered,"Dadar East, Mumbai",Y,Co-operative Society,Y,
Ready to Move,85000000.0,2207.0,2070.0,Mumbai,Apartment,4,5.0,3 Covered,"Dadar TT Circle, Mumbai",Y,Freehold,Y,19.0
Ready to Move,65000000.0,1811.0,1611.0,Mumbai,Apartment,3,3.0,2 Covered,"Dadar TT Circle, Mumbai",Y,Freehold,Y,18.0
Ready to Move,77500000.0,2500.0,1943.0,Mumbai,Apartment,4,4.0,2 Covered,"Dadar East, Mumbai",Y,Freehold,Y,30000.0
Ready to Move,84700000.0,3000.0,2488.0,Mumbai,Apartment,4,4.0,2 Covered,"Dadar East, Mumbai",Y,Freehold,Y,0.0
Ready to Move,100000000.0,4105.0,2488.0,Mumbai,Apartment,4,5.0,3 Covered,"Dadar East, Mumbai",Y,Co-operative Society,Y,42296.0
Ready to Move,68000000.0,2280.0,1960.0,Mumbai,Apartment,3,3.0,"1 Covered, 1 Open","Dadar East, Mumbai",Y,Freehold,Y,5.0
Ready to Move,74000000.0,3321.0,2076.0,Mumbai,Apartment,4,4.0,2 Covered,"Dadar East, Mumbai",Y,Freehold,Y,12000.0
Ready to Move,11500000.0,750.0,650.0,Mumbai,Apartment,2,2.0,1 Covered,"Dadar East, Mumbai",N,Freehold,Y,
Ready to Move,65000000.0,1840.0,1600.0,Mumbai,Apartment,3,4.0,2 Covered,"Dadar East, Mumbai",Y,Co-operative Society,Y,
Ready to Move,82500000.0,3250.0,2100.0,Mumbai,Apartment,4,5.0,3 Covered,"Dadar East, Mumbai",Y,Freehold,Y,28000.0
Ready to Move,76000000.0,2100.0,2100.0,Mumbai,Apartment,4,4.0,,"Dadar East, Mumbai",N,Freehold,Y,
Under Construction,20000000.0,,450.0,Mumbai,Apartment,1,2.0,1 Covered,"Hindu Colony, Mumbai",Y,Freehold,Y,0.0
Under Construction,19000000.0,645.0,430.0,Mumbai,Apartment,1,2.0,1 Covered,"Dadar TT Circle, Mumbai",Y,Freehold,Y,10.0
Ready to Move,66700000.0,2814.0,1954.0,Mumbai,Apartment,3,4.0,2 Covered,"Dadar East, Mumbai",Y,Freehold,Y,29340.0
Ready to Move,75000000.0,2800.0,2070.0,Mumbai,Apartment,4,5.0,2 Covered,"Dadar East, Mumbai",Y,Co-operative Society,Y,45000.0
Ready to Move,110000000.0,3000.0,2525.0,Mumbai,Apartment,4,4.0,3 Covered,"Dadar East, Mumbai",Y,Co-operative Society,Y,50000.0
Ready to Move,59900000.0,,1620.0,Mumbai,Apartment,3,3.0,1 Covered,"Dadar East, Mumbai",Y,Freehold,Y,0.0
Ready to Move,16400000.0,500.0,400.0,Mumbai,Apartment,1,1.0,1 Covered,"Dadar East, Mumbai",Y,Co-operative Society,Y,
Ready to Move,135000000.0,4200.0,3200.0,Mumbai,Apartment,4,6.0,2 Covered,"Dadar East, Mumbai",Y,Freehold,Y,18.0
Ready to Move,72500000.0,3500.0,2100.0,Mumbai,Apartment,4,5.0,2 Covered,"Dadar East, Mumbai",Y,Freehold,Y,17.0
Ready to Move,94557349.0,2050.0,1955.0,Mumbai,Apartment,3,3.0,"1 Covered, 1 Open","Dadar East, Mumbai",Y,Freehold,Y,18.0
Ready to Move,59100000.0,2200.0,1655.0,Mumbai,Apartment,3,4.0,2 Covered,"Dadar TT Circle, Mumbai",Y,Co-operative Society,Y,17.0
Under Construction,67500000.0,,1955.0,Mumbai,Apartment,3,3.0,1 Covered,"Hindu Colony, Mumbai",Y,Freehold,Y,10.0
Under Construction,23000000.0,1250.0,757.0,Mumbai,Apartment,2,3.0,1 Covered,"Dadar East, Mumbai",Y,Freehold,Y,7000.0
Ready to Move,28000000.0,580.0,480.0,Mumbai,Apartment,1,2.0,1 Open,"L Tilak Colony, Mumbai",Y,Freehold,Y,1.0
Ready to Move,21000000.0,700.0,550.0,Mumbai,Apartment,1,1.0,1 Open,"Dadar East, Mumbai",Y,Co-operative Society,Y,2500.0
Ready to Move,65000000.0,2482.0,1655.0,Mumbai,Apartment,3,3.0,,"Dadar East, Mumbai",Y,Freehold,Y,21000.0
Ready to Move,75000000.0,2350.0,1838.0,Mumbai,Apartment,3,3.0,2 Covered,"Dadar East, Mumbai",Y,Freehold,Y,
Ready to Move,92500000.0,3850.0,2500.0,Mumbai,Apartment,4,5.0,3 Covered,"Dadar East, Mumbai",Y,Freehold,Y,35000.0
Ready to Move,89100000.0,4387.0,2500.0,Mumbai,Apartment,4,5.0,2 Covered,"Dadar TT Circle, Mumbai",Y,Freehold,Y,62500.0
Ready to Move,69300000.0,3334.0,1900.0,Mumbai,Apartment,3,4.0,2 Covered,"Dadar TT Circle, Mumbai",Y,Freehold,Y,41000.0
Ready to Move,69900000.0,3500.0,2100.0,Mumbai,Apartment,4,4.0,,"Dadar East, Mumbai",Y,Freehold,Y,28500.0
Ready to Move,84700000.0,2488.0,2488.0,Mumbai,Apartment,4,4.0,3 Covered,"Dadar East, Mumbai",Y,Freehold,Y,15.0
Ready to Move,92200000.0,2345.0,2100.0,Mumbai,Apartment,4,4.0,2 Covered,"Dadar East, Mumbai",Y,Freehold,Y,1.0
Ready to Move,57500000.0,2234.0,1646.0,Mumbai,Apartment,3,4.0,,"Dadar East, Mumbai",Y,Co-operative Society,Y,40000.0
Ready to Move,20500000.0,685.0,428.0,Mumbai,Apartment,1,2.0,1 Covered,"Dadar TT Circle, Mumbai",Y,Freehold,Y,7000.0
Ready to Move,79900000.0,,2102.0,Mumbai,Apartment,4,4.0,2 Covered,"Dadar East, Mumbai",Y,Freehold,Y,0.0
Ready to Move,57000000.0,1840.0,1600.0,Mumbai,Apartment,3,4.0,2 Covered,"Dadar East, Mumbai",Y,Freehold,Y,25000.0
Ready to Move,58000000.0,2015.0,1620.0,Mumbai,Apartment,3,4.0,2 Covered,"L Tilak Colony, Mumbai",Y,Freehold,Y,1.0
Ready to Move,70000000.0,2205.0,2000.0,Mumbai,Apartment,3,4.0,2 Covered,"Dadar East, Mumbai",N,Freehold,Y,1.0
Ready to Move,74900000.0,2600.0,2070.0,Mumbai,Apartment,4,4.0,2 Covered,"Dadar East, Mumbai",Y,Freehold,Y,25000.0
Ready to Move,90000000.0,1980.0,1840.0,Mumbai,Apartment,3,3.0,"1 Covered, 1 Open","Dadar East, Mumbai",Y,Freehold,Y,
Ready to Move,74900000.0,2600.0,2070.0,Mumbai,Apartment,4,4.0,2 Covered,"Dadar East, Mumbai",Y,Freehold,Y,25000.0
Ready to Move,87900000.0,3000.0,2488.0,Mumbai,Apartment,4,5.0,2 Covered,"Dadar East, Mumbai",Y,Freehold,Y,25000.0
Ready to Move,60000000.0,2800.0,1600.0,Mumbai,Apartment,3,4.0,2 Covered,"Dadar East, Mumbai",N,Freehold,Y,35000.0
Ready to Move,88900000.0,2500.0,2488.0,Mumbai,Apartment,4,5.0,3 Covered,"Dadar TT Circle, Mumbai",Y,Freehold,Y,20000.0
Ready to Move,56000000.0,1611.0,1611.0,Mumbai,Apartment,3,3.0,2 Covered,"Dadar East, Mumbai",Y,Freehold,Y,15.0
Ready to Move,82000000.0,2300.0,2050.0,Mumbai,Apartment,4,4.0,3 Covered,"Dadar East, Mumbai",Y,Freehold,Y,20.0
Ready to Move,87600000.0,2810.0,2500.0,Mumbai,Apartment,4,4.0,"1 Covered, 1 Open","Dadar East, Mumbai",Y,Freehold,Y,5.0
Ready to Move,69900000.0,,1950.0,Mumbai,Apartment,3,3.0,,"Dadar East, Mumbai",N,,Y,8.0
Ready to Move,59900000.0,,1655.0,Mumbai,Apartment,3,3.0,,"Dadar East, Mumbai",N,,Y,8.0
Ready to Move,82000000.0,3432.0,2080.0,Mumbai,Apartment,4,4.0,2 Covered,"Dadar East, Mumbai",Y,Freehold,Y,21000.0
Ready to Move,71800000.0,2276.0,2076.0,Mumbai,Apartment,4,4.0,1 Covered,"Dadar TT Circle, Mumbai",Y,Freehold,Y,1.0
Ready to Move,62800000.0,2155.0,1955.0,Mumbai,Apartment,3,3.0,1 Covered,"Dadar TT Circle, Mumbai",Y,Freehold,Y,1.0
Under Construction,20000000.0,730.0,580.0,Mumbai,Apartment,2,2.0,1 Covered,"Dadar East, Mumbai",Y,Freehold,Y,15.0
Ready to Move,100000000.0,2145.0,2145.0,Mumbai,Apartment,4,3.0,2 Covered,"Dadar East, Mumbai",Y,Freehold,Y,15000.0
Ready to Move,57500000.0,1450.0,1130.0,Mumbai,Apartment,3,3.0,1 Covered,"Hindu Colony, Mumbai",Y,Co-operative Society,Y,1.0
Ready to Move,119900000.0,3680.0,2300.0,Mumbai,Apartment,5,5.0,3 Covered,"Dadar East, Mumbai",Y,Freehold,Y,12.0
Ready to Move,87000000.0,3483.0,2177.0,Mumbai,Apartment,4,4.0,2 Covered,"Dadar East, Mumbai",Y,Freehold,Y,18.0
Ready to Move,84700000.0,4022.0,2514.0,Mumbai,Apartment,4,4.0,2 Covered,"Dadar East, Mumbai",Y,Freehold,Y,18.0
Ready to Move,31500000.0,930.0,800.0,Mumbai,Apartment,2,2.0,1 Covered,"Dadar East, Mumbai",Y,Co-operative Society,Y,0.0
Ready to Move,89900000.0,2450.0,2450.0,Mumbai,Apartment,4,5.0,,"Dadar East, Mumbai",Y,Freehold,Y,18.0
Ready to Move,79600000.0,2076.0,2076.0,Mumbai,Apartment,4,4.0,,"Dadar East, Mumbai",Y,Freehold,Y,
Under Construction,23500000.0,757.0,757.0,Mumbai,Apartment,2,2.0,1 Covered,"Dadar East, Mumbai",Y,Freehold,Y,15.0
Ready to Move,83000000.0,2352.0,1950.0,Mumbai,Apartment,4,4.0,3 Covered,"Dadar East, Mumbai",Y,Freehold,Y,25.0
Ready to Move,84900000.0,2450.0,2050.0,Mumbai,Apartment,4,4.0,2 Covered,"Dadar East, Mumbai",Y,Freehold,Y,20.0
Ready to Move,63000000.0,2250.0,1655.0,Mumbai,Apartment,3,3.0,2 Covered,"Dadar East, Mumbai",Y,Freehold,Y,25.0
Ready to Move,70100000.0,2000.0,1760.0,Mumbai,Apartment,3,3.0,2 Covered,"Dadar TT Circle, Mumbai",N,Freehold,Y,25.0
Jun '25,24700000.0,,747.0,Mumbai,Apartment,2,2.0,1 Covered,"Dadar East, Mumbai",N,,Y,
Ready to Move,65800000.0,,1655.0,Mumbai,Apartment,3,3.0,,"Dadar East, Mumbai",N,,Y,8.0
Ready to Move,67000000.0,2340.0,1611.0,Mumbai,Apartment,3,3.0,2 Covered,"Dadar East, Mumbai",Y,Freehold,Y,16.0
Ready to Move,75777000.0,1943.0,1943.0,Mumbai,Apartment,4,5.0,"1 Covered, 3 Open","Dadar TT Circle, Mumbai",Y,Freehold,Y,10.0
Ready to Move,28500000.0,900.0,733.0,Mumbai,Apartment,2,2.0,1 Covered,"Santacruz East, Mumbai",Y,Freehold,Y,8000.0
Under Construction,23300000.0,800.0,752.0,Mumbai,Apartment,2,2.0,,"Santacruz East, Mumbai",Y,Freehold,Y,10000.0
Under Construction,18600000.0,923.0,577.0,Mumbai,Apartment,2,2.0,,"Santacruz East, Mumbai",Y,Freehold,Y,5000.0
Ready to Move,24900000.0,1400.0,1005.0,Mumbai,Apartment,2,2.0,1 Covered,"Kalina, Mumbai",Y,Freehold,Y,1.0
Ready to Move,25000000.0,980.0,654.0,Mumbai,Apartment,2,2.0,,"Santacruz East, Mumbai",Y,Freehold,Y,6500.0
Under Construction,30000000.0,1282.0,898.0,Mumbai,Apartment,3,2.0,2 Covered,"Santacruz East, Mumbai",N,Freehold,Y,11000.0
Ready to Move,11800000.0,650.0,465.0,Mumbai,Apartment,1,2.0,1 Covered,"Santacruz East, Mumbai",Y,Co-operative Society,Y,5000.0
Ready to Move,50000000.0,2000.0,1500.0,Mumbai,Apartment,4,4.0,2 Covered,"Santacruz East, Mumbai",Y,Freehold,Y,15000.0
Dec '26,11128000.0,,428.0,Mumbai,Apartment,1,2.0,,"Santacruz East, Mumbai",N,,Y,
Ready to Move,18500000.0,1000.0,680.0,Mumbai,Apartment,2,2.0,1 Open,"Santacruz East, Mumbai",Y,Freehold,Y,5000.0
Ready to Move,12000000.0,570.0,430.0,Mumbai,Apartment,1,1.0,1 Covered,"Santacruz East, Mumbai",Y,Freehold,Y,5000.0
Ready to Move,20000000.0,,685.0,Mumbai,Apartment,2,2.0,1 Covered,"Santacruz East, Mumbai",Y,Freehold,Y,
Under Construction,19500000.0,1080.0,780.0,Mumbai,Apartment,2,2.0,1 Covered,"Kalina, Mumbai",Y,Freehold,Y,7200.0
Ready to Move,21000000.0,950.0,750.0,Mumbai,Apartment,2,2.0,1 Open,"Kalina, Mumbai",Y,Co-operative Society,Y,5000.0
Ready to Move,14500000.0,750.0,447.0,Mumbai,Apartment,1,2.0,1 Covered,"Santacruz East, Mumbai",N,Freehold,Y,6.0
Ready to Move,21800000.0,1072.0,666.0,Mumbai,Apartment,2,2.0,1 Covered,"Santacruz East, Mumbai",Y,Freehold,Y,6000.0
Under Construction,30700000.0,,992.0,Mumbai,Apartment,3,3.0,1 Covered,"Kalina, Mumbai",Y,,Y,
Under Construction,21700000.0,,726.0,Mumbai,Apartment,2,2.0,1 Covered,"Kalina, Mumbai",Y,,Y,
Ready to Move,16469000.0,615.0,424.0,Mumbai,Apartment,1,1.0,50 Covered,"Santacruz East, Mumbai",Y,Freehold,Y,4000.0
Ready to Move,30000000.0,1350.0,1050.0,Mumbai,Apartment,3,3.0,,"Santacruz East, Mumbai",N,Freehold,Y,
Under Construction,23400000.0,726.0,726.0,Mumbai,Apartment,2,2.0,1 Covered,"Vidya Nagari, Mumbai",Y,Leasehold,Y,7000.0
Ready to Move,18500000.0,925.0,555.0,Mumbai,Apartment,2,2.0,1 Covered,"Kalina, Mumbai",Y,Freehold,Y,10.0
Under Construction,12400000.0,599.0,428.0,Mumbai,Apartment,1,2.0,1 Covered,"Santacruz East, Mumbai",N,Co-operative Society,Y,4500.0
Ready to Move,20000000.0,750.0,750.0,Mumbai,Apartment,2,2.0,1 Open,"Santacruz East, Mumbai",Y,Freehold,Y,
Ready to Move,33000000.0,1300.0,1000.0,Mumbai,Apartment,3,3.0,2 Covered,"Kalina, Mumbai",Y,Co-operative Society,Y,3500.0
Ready to Move,26000000.0,1100.0,690.0,Mumbai,Apartment,2,2.0,1 Covered,"Santacruz East, Mumbai",Y,Freehold,Y,6000.0
Ready to Move,24500000.0,1055.0,703.0,Mumbai,Apartment,2,2.0,1 Covered,"Sen Nagar, Mumbai",Y,Co-operative Society,Y,5000.0
Under Construction,13500000.0,669.0,446.0,Mumbai,Apartment,1,2.0,,"Santacruz East, Mumbai",Y,Co-operative Society,Y,4000.0
Ready to Move,31500000.0,1090.0,900.0,Mumbai,Apartment,3,3.0,1 Covered,"Santacruz East, Mumbai",Y,Co-operative Society,Y,4900.0
Ready to Move,26500000.0,1250.0,696.0,Mumbai,Apartment,2,2.0,,"Santacruz East, Mumbai",Y,Freehold,Y,10.0
Ready to Move,30000000.0,1350.0,1050.0,Mumbai,Apartment,3,3.0,,"Santacruz East, Mumbai",N,Freehold,Y,
Under Construction,23400000.0,726.0,726.0,Mumbai,Apartment,2,2.0,1 Covered,"Vidya Nagari, Mumbai",Y,Leasehold,Y,7000.0
Ready to Move,18500000.0,925.0,555.0,Mumbai,Apartment,2,2.0,1 Covered,"Kalina, Mumbai",Y,Freehold,Y,10.0
Under Construction,12400000.0,599.0,428.0,Mumbai,Apartment,1,2.0,1 Covered,"Santacruz East, Mumbai",N,Co-operative Society,Y,4500.0
Ready to Move,20000000.0,750.0,750.0,Mumbai,Apartment,2,2.0,1 Open,"Santacruz East, Mumbai",Y,Freehold,Y,
Ready to Move,33000000.0,1300.0,1000.0,Mumbai,Apartment,3,3.0,2 Covered,"Kalina, Mumbai",Y,Co-operative Society,Y,3500.0
Ready to Move,26000000.0,1100.0,690.0,Mumbai,Apartment,2,2.0,1 Covered,"Santacruz East, Mumbai",Y,Freehold,Y,6000.0
Ready to Move,24500000.0,1055.0,703.0,Mumbai,Apartment,2,2.0,1 Covered,"Sen Nagar, Mumbai",Y,Co-operative Society,Y,5000.0
Under Construction,13500000.0,669.0,446.0,Mumbai,Apartment,1,2.0,,"Santacruz East, Mumbai",Y,Co-operative Society,Y,4000.0
Ready to Move,31500000.0,1090.0,900.0,Mumbai,Apartment,3,3.0,1 Covered,"Santacruz East, Mumbai",Y,Co-operative Society,Y,4900.0
Ready to Move,26500000.0,1250.0,696.0,Mumbai,Apartment,2,2.0,,"Santacruz East, Mumbai",Y,Freehold,Y,10.0
Ready to Move,6500000.0,620.0,390.0,Mumbai,Apartment,1,1.0,1 Open,"Kranti Nagar, Mumbai",Y,Co-operative Society,Y,1500.0
Ready to Move,3900000.0,995.0,700.0,Mumbai,Apartment,2,2.0,1 Open,"Sundar Nagar, Kalina, Mumbai",Y,,N,6000.0
Ready to Move,28500000.0,1200.0,800.0,Mumbai,Apartment,3,2.0,,"Santacruz East, Mumbai",Y,,N,
Ready to Move,28500000.0,950.0,,Mumbai,Apartment,2,2.0,,"Santacruz East, Mumbai",N,,N,
Ready to Move,12500000.0,570.0,500.0,Mumbai,Apartment,1,2.0,,"Santacruz East, Mumbai",Y,,N,
Ready to Move,13000000.0,520.0,433.0,Mumbai,Apartment,1,2.0,,"Santacruz East, Mumbai",Y,,N,
Ready to Move,12500000.0,520.0,382.0,Mumbai,Apartment,1,1.0,,"Santacruz East, Mumbai",Y,Co-operative Society,N,
Ready to Move,19000000.0,928.0,675.0,Mumbai,Apartment,2,2.0,,"Santacruz East, Mumbai",Y,,N,6000.0
Ready to Move,20000000.0,625.0,,Mumbai,Apartment,2,2.0,,"Santacruz East, Mumbai",N,Co-operative Society,N,
Ready to Move,22000000.0,594.0,,Mumbai,Apartment,2,2.0,,"Santacruz East, Mumbai",N,,Y,
Ready to Move,30000000.0,1100.0,,Mumbai,Apartment,2,2.0,,"Vidya Nagari, Mumbai",N,,Y,8000.0
Ready to Move,27500000.0,900.0,,Mumbai,Apartment,2,2.0,,"Santacruz East, Mumbai",N,,Y,
Ready to Move,12500000.0,,500.0,Mumbai,Apartment,1,2.0,,"Santacruz East, Mumbai",Y,,Y,
Ready to Move,9000000.0,1100.0,1000.0,Mumbai,Residential House,3,2.0,,,N,Freehold,Y,
,16000000.0,750.0,,Mumbai,Apartment,2,2.0,,"Santacruz East, Mumbai",N,,Y,
Ready to Move,22000000.0,770.0,,Mumbai,Apartment,2,3.0,,"Sundar Nagar, Kalina, Mumbai",N,,Y,
Ready to Move,16000000.0,860.0,,Mumbai,Apartment,2,2.0,,"Santacruz East, Mumbai",N,,Y,
Ready to Move,14000000.0,512.0,,Mumbai,Apartment,1,2.0,,"Santacruz East, Mumbai",N,,Y,
Ready to Move,8500000.0,360.0,310.0,Mumbai,Apartment,1,1.0,,"Santacruz East, Mumbai",Y,,Y,
Ready to Move,23500000.0,1095.0,,Mumbai,Apartment,2,2.0,,"Santacruz East, Mumbai",N,,N,
Ready to Move,18500000.0,625.0,455.0,Mumbai,Apartment,1,2.0,,"Santacruz East, Mumbai",N,Freehold,Y,
Ready to Move,22000000.0,945.0,630.0,Mumbai,Apartment,2,2.0,1 Open,"Kalina, Mumbai",Y,Co-operative Society,N,
Ready to Move,11500000.0,680.0,500.0,Mumbai,Apartment,1,2.0,,"Santacruz East, Mumbai",Y,,Y,
Under Construction,11500000.0,696.0,435.0,Mumbai,Apartment,1,2.0,1 Covered,"Santacruz East, Mumbai",Y,Leasehold,Y,3500.0
Ready to Move,3500000.0,,210.0,Mumbai,Apartment,1,1.0,,"Santacruz East, Mumbai",Y,Power Of Attorney,N,
Ready to Move,32500000.0,820.0,710.0,Mumbai,Apartment,2,2.0,2 Covered,"Prabhat Colony, Mumbai",N,,N,
Ready to Move,16000000.0,836.0,,Mumbai,Apartment,2,3.0,,"Santacruz East, Mumbai",N,Co-operative Society,N,
Ready to Move,19500000.0,980.0,,Mumbai,Apartment,2,2.0,,"Sundar Nagar, Kalina, Mumbai",N,,N,
Ready to Move,13500000.0,407.0,407.0,Mumbai,Apartment,1,1.0,,"Santacruz East, Mumbai",N,Freehold,N,
Ready to Move,2800000.0,10.0,10.0,Mumbai,Residential House,1,,,,Y,,N,
Ready to Move,19000000.0,900.0,604.0,Mumbai,Apartment,2,2.0,1 Covered,"Santacruz East, Mumbai",Y,Co-operative Society,N,
Ready to Move,18000000.0,864.0,,Mumbai,Apartment,2,2.0,,"Santacruz East, Mumbai",Y,Co-operative Society,N,
Ready to Move,1600000.0,140.0,,Mumbai,Residential House,1,1.0,,,N,,N,
Ready to Move,25000000.0,1150.0,960.0,Mumbai,Apartment,2,2.0,,"Kalina, Mumbai",N,,N,
Ready to Move,8200000.0,330.0,330.0,Mumbai,Apartment,1,1.0,1 Open,"Santacruz East, Mumbai",N,,N,
Ready to Move,27000000.0,1150.0,,Mumbai,Apartment,2,2.0,,"Santacruz East, Mumbai",N,,N,
Ready to Move,8200000.0,419.0,,Mumbai,Apartment,1,1.0,,"Santacruz East, Mumbai",N,,N,
Ready to Move,27500000.0,,690.0,Mumbai,Apartment,2,2.0,,"Santacruz East, Mumbai",Y,,Y,
Ready to Move,18500000.0,850.0,,Mumbai,Apartment,1,2.0,,"Santacruz East, Mumbai",N,,N,
Ready to Move,11000000.0,520.0,430.0,Mumbai,Apartment,1,1.0,,"Santacruz East, Mumbai",Y,,Y,
Ready to Move,3000000.0,350.0,,Mumbai,Residential House,1,1.0,,,N,Freehold,Y,
Ready to Move,1600000.0,400.0,,Mumbai,Residential House,2,2.0,,,N,,Y,
Ready to Move,120000000.0,,3185.0,Mumbai,Villa,6,4.0,,,N,,Y,
Ready to Move,1600000.0,150.0,150.0,Mumbai,Residential House,1,1.0,,,Y,,Y,
Ready to Move,30000000.0,1200.0,851.0,Mumbai,Apartment,3,3.0,1 Covered,"Santacruz East, Mumbai",N,,Y,
Ready to Move,17100000.0,700.0,525.0,Mumbai,Apartment,1,1.0,6 Open,"Santacruz East, Mumbai",N,Co-operative Society,Y,
Ready to Move,16000000.0,900.0,650.0,Mumbai,Apartment,2,1.0,1 Open,"Santacruz East, Mumbai",Y,Co-operative Society,Y,1200.0
Ready to Move,2650000.0,200.0,180.0,Mumbai,Apartment,1,1.0,,"Santacruz East, Mumbai",N,Freehold,Y,
Ready to Move,4200000.0,,269.0,Mumbai,Apartment,1,2.0,,"Santacruz East, Mumbai",Y,Co-operative Society,Y,
Ready to Move,9600000.0,400.0,,Mumbai,Apartment,1,1.0,,"Santacruz East, Mumbai",N,,N,
Ready to Move,5000000.0,300.0,,Mumbai,Apartment,1,1.0,,"Santacruz East, Mumbai",N,,N,
Ready to Move,12500000.0,64.0,484.0,Mumbai,Apartment,1,2.0,,"Santacruz East, Mumbai",N,Co-operative Society,N,
Ready to Move,35000000.0,897.0,897.0,Mumbai,Apartment,3,3.0,1 Open,"Santacruz East, Mumbai",N,,N,
Ready to Move,19000000.0,860.0,522.0,Mumbai,Apartment,2,2.0,1 Covered,"Kalina, Mumbai",Y,Freehold,N,
Ready to Move,24000000.0,800.0,651.0,Mumbai,Apartment,2,2.0,,"Santacruz East, Mumbai",N,Freehold,Y,
Ready to Move,38900000.0,1665.0,1280.0,Mumbai,Apartment,3,3.0,1 Open,"Kalina, Mumbai",N,,Y,6700.0
Ready to Move,11000000.0,580.0,,Mumbai,Apartment,1,1.0,,"Santacruz East, Mumbai",N,,N,
Ready to Move,6000000.0,245.0,204.0,Mumbai,Apartment,1,1.0,,"Santacruz East, Mumbai",Y,,N,
Ready to Move,22000000.0,850.0,,Mumbai,Apartment,2,2.0,,"Sundar Nagar, Kalina, Mumbai",N,,N,
Ready to Move,35000000.0,859.0,,Mumbai,Apartment,3,3.0,,"Santacruz East, Mumbai",Y,,N,
Ready to Move,10500000.0,400.0,,Mumbai,Apartment,1,1.0,,"Santacruz East, Mumbai",N,,N,
Ready to Move,25000000.0,880.0,,Mumbai,Apartment,2,2.0,,"Santacruz East, Mumbai",N,,Y,
Ready to Move,23000000.0,870.0,690.0,Mumbai,Apartment,2,2.0,,"Kolivary, Mumbai",N,Co-operative Society,Y,5500.0
Ready to Move,25000000.0,640.0,480.0,Mumbai,Apartment,2,2.0,,"Santacruz East, Mumbai",N,Co-operative Society,Y,
Ready to Move,110000000.0,1950.0,1700.0,Mumbai,Apartment,4,4.0,,"Santacruz East, Mumbai",N,,Y,
Ready to Move,17500000.0,625.0,,Mumbai,Apartment,2,2.0,,"Santacruz East, Mumbai",N,,Y,
Ready to Move,26000000.0,1200.0,,Mumbai,Apartment,2,2.0,,"Santacruz East, Mumbai",N,,Y,
Ready to Move,30000000.0,1440.0,,Mumbai,Apartment,3,3.0,,"Santacruz East, Mumbai",N,,Y,
Ready to Move,10000000.0,705.0,,Mumbai,Apartment,1,1.0,,"Santacruz East, Mumbai",N,,Y,
Ready to Move,25000000.0,901.0,,Mumbai,Apartment,2,2.0,,"Santacruz East, Mumbai",N,,Y,
Under Construction,12200000.0,,449.0,Mumbai,Apartment,1,2.0,,"Kalina, Mumbai",Y,,Y,
Ready to Move,22500000.0,658.0,550.0,Mumbai,Apartment,2,2.0,1 Covered,"Kalina, Mumbai",Y,Co-operative Society,Y,
Under Construction,19800000.0,1232.0,770.0,Mumbai,Apartment,2,2.0,1 Covered,"Santacruz East, Mumbai",Y,Freehold,Y,6400.0
Ready to Move,15000000.0,800.0,450.0,Mumbai,Apartment,1,1.0,,"Santacruz East, Mumbai",Y,Freehold,Y,
Under Construction,9900000.0,616.0,385.0,Mumbai,Apartment,1,2.0,1 Covered,"Santacruz East, Mumbai",Y,Leasehold,Y,3500.0
Ready to Move,45500000.0,1400.0,1100.0,Mumbai,Apartment,3,3.0,2 Covered,"Sundar Nagar, Kalina, Mumbai",N,Freehold,Y,15000.0
