Possession Status,Price,Covered Area,Carpet Area,City,Type of Property,bedroom,Bathroom,Parking,Location,Society,Ownership Type,isPrimeLocationProperty,Maintenance Charges
Ready to Move,4500000.0,765.0,,Thane,Apartment,1,2.0,,"Kalyan West, Thane",N,,N,
Ready to Move,5500000.0,571.0,,Thane,Apartment,1,1.0,,"Kalyan West, Thane",N,,N,
Ready to Move,6000000.0,750.0,,Thane,Apartment,2,2.0,,"Kalyan West, Thane",N,,Y,
Ready to Move,3500000.0,501.0,363.0,Thane,Apartment,1,2.0,,"Kalyan West, Thane",N,,Y,
Ready to Move,7000000.0,963.0,,Kalyan,Apartment,3,2.0,,"Kalyan West, Kalyan",N,,Y,
Ready to Move,7800000.0,1044.0,,Thane,Apartment,3,2.0,,"Kalyan West, Thane",N,,Y,
Ready to Move,3500000.0,608.0,,Thane,Apartment,1,1.0,,"Kalyan West, Thane",N,,Y,
Ready to Move,3700000.0,750.0,493.0,Thane,Apartment,1,1.0,,"Kalyan West, Thane",N,,Y,
Ready to Move,3200000.0,603.0,,Thane,Apartment,1,1.0,,"Kalyan West, Thane",Y,,Y,
Under Construction,4499000.0,,421.0,Thane,Apartment,1,2.0,1 Covered,"Kalyan West, Thane",N,,Y,
Ready to Move,4300000.0,640.0,,Thane,Apartment,1,1.0,,"Kalyan West, Thane",N,,Y,
Ready to Move,3451500.0,585.0,455.0,Thane,Apartment,1,2.0,"1 Covered, 1 Open","Kalyan West, Thane",Y,,Y,1000.0
Ready to Move,4050000.0,624.0,,Thane,Apartment,1,1.0,,"Kalyan West, Thane",N,,Y,
Ready to Move,7400000.0,980.0,685.0,Thane,Apartment,2,2.0,,"Kalyan West, Thane",N,Freehold,N,2934.0
Ready to Move,4800000.0,1080.0,709.0,Thane,Apartment,2,2.0,,"Kalyan West, Thane",N,Co-operative Society,N,8991.0
Under Construction,4700000.0,,461.0,Thane,Apartment,1,1.0,1 Covered,"Kalyan West, Thane",Y,Freehold,Y,0.0
Ready to Move,7999992.0,1332.0,853.0,Thane,Apartment,3,3.0,1 Open,"Kalyan West, Thane",Y,Freehold,Y,
Ready to Move,4700000.0,835.0,,Thane,Apartment,2,2.0,2 Open,"Kalyan West, Thane",N,,N,
Ready to Move,3200000.0,645.0,,Thane,Apartment,1,1.0,,"Kalyan West, Thane",N,,N,
Ready to Move,1700000.0,325.0,,Thane,Apartment,1,1.0,,"Kalyan West, Thane",N,,N,
Ready to Move,25200000.0,2900.0,2115.0,Thane,Apartment,5,3.0,,"Kalyan West, Thane",N,Co-operative Society,N,
Ready to Move,9500000.0,900.0,,Kalyan,Apartment,2,2.0,,"Kalyan West, Kalyan",N,,N,
Ready to Move,4200000.0,418.0,,Thane,Apartment,1,1.0,,"Kalyan West, Thane",N,Freehold,N,
Ready to Move,4200000.0,590.0,,Thane,Builder Floor Apartment,1,1.0,1 Covered,"Kalyan West, Thane",N,,N,
Ready to Move,4000000.0,680.0,,Thane,Apartment,1,2.0,,"Kalyan West, Thane",N,,N,
Ready to Move,8000000.0,880.0,,Thane,Apartment,2,2.0,,"Kalyan West, Thane",N,,N,
Ready to Move,10000000.0,1250.0,,Kalyan,Apartment,2,2.0,,"Kalyan West, Kalyan",N,,N,
Ready to Move,11000000.0,1190.0,,Thane,Apartment,3,3.0,,"Kalyan West, Thane",N,,N,
Ready to Move,6000000.0,870.0,,Thane,Apartment,2,2.0,,"Kalyan West, Thane",N,Freehold,N,
Ready to Move,5500000.0,650.0,,Thane,Builder Floor Apartment,2,1.0,,"Kalyan West, Thane",N,Co-operative Society,N,1100.0
Under Construction,8200000.0,595.0,,Thane,Apartment,2,2.0,,"Kalyan West, Thane",N,,N,
Ready to Move,2600000.0,490.0,,Thane,Apartment,1,1.0,,"Kalyan West, Thane",N,,N,
Ready to Move,7200000.0,985.0,,Thane,Apartment,2,2.0,,"Kalyan West, Thane",N,Co-operative Society,N,
Ready to Move,8500000.0,1130.0,,Thane,Apartment,2,2.0,2 Covered,"Kalyan West, Thane",N,,Y,
Ready to Move,7300000.0,1000.0,640.0,Thane,Apartment,2,2.0,1 Open,"Kalyan West, Thane",N,,Y,
Ready to Move,11000000.0,700.0,,Thane,Apartment,2,2.0,,"Kalyan West, Thane",N,,Y,
Ready to Move,15000000.0,1600.0,,Thane,Residential House,2,2.0,,,N,,Y,
